0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:18:45 -0500] "GET /mvc_simple/resources/img/portfolio/whatsapp.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:19:31 -0500] "GET /mvc_simple/ HTTP/1.1" 200 27682
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:19:31 -0500] "GET /mvc_simple/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:19:31 -0500] "GET /mvc_simple/resources/img/portfolio/minions_022.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:19:31 -0500] "GET /mvc_simple/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:19:31 -0500] "GET /mvc_simple/resources/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:19:31 -0500] "GET /mvc_simple/resources/css/freelancer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:19:31 -0500] "GET /mvc_simple/resources/js/classie.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:19:31 -0500] "GET /mvc_simple/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:19:31 -0500] "GET /mvc_simple/resources/js/jqBootstrapValidation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:19:31 -0500] "GET /mvc_simple/resources/js/cbpAnimatedHeader.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:19:31 -0500] "GET /mvc_simple/resources/js/contact_me.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:19:31 -0500] "GET /mvc_simple/resources/js/freelancer.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:19:31 -0500] "GET /mvc_simple/resources/img/portfolio/entretenimiento.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:19:31 -0500] "GET /mvc_simple/resources/img/portfolio/arte.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:19:31 -0500] "GET /mvc_simple/resources/img/portfolio/deporte.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:19:31 -0500] "GET /mvc_simple/resources/img/portfolio/airelibre.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:19:31 -0500] "GET /mvc_simple/resources/img/portfolio/cursos2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:19:31 -0500] "GET /mvc_simple/resources/img/portfolio/humanitario.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:19:31 -0500] "GET /mvc_simple/resources/img/portfolio/Google_Plus.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:19:31 -0500] "GET /mvc_simple/resources/img/portfolio/facebook.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:19:31 -0500] "GET /mvc_simple/resources/img/portfolio/twitter.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:19:31 -0500] "GET /mvc_simple/resources/img/portfolio/linkedin.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:19:31 -0500] "GET /mvc_simple/resources/img/portfolio/whatsapp.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:20:01 -0500] "GET /mvc_simple/ HTTP/1.1" 200 27650
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:20:01 -0500] "GET /mvc_simple/resources/css/freelancer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:20:01 -0500] "GET /mvc_simple/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:20:01 -0500] "GET /mvc_simple/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:20:01 -0500] "GET /mvc_simple/resources/js/classie.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:20:01 -0500] "GET /mvc_simple/resources/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:20:01 -0500] "GET /mvc_simple/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:20:01 -0500] "GET /mvc_simple/resources/js/cbpAnimatedHeader.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:20:01 -0500] "GET /mvc_simple/resources/js/jqBootstrapValidation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:20:01 -0500] "GET /mvc_simple/resources/js/contact_me.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:20:01 -0500] "GET /mvc_simple/resources/js/freelancer.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:20:01 -0500] "GET /mvc_simple/resources/img/portfolio/minions_022.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:20:01 -0500] "GET /mvc_simple/resources/img/portfolio/entretenimiento.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:20:01 -0500] "GET /mvc_simple/resources/img/portfolio/airelibre.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:20:01 -0500] "GET /mvc_simple/resources/img/portfolio/cursos2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:20:01 -0500] "GET /mvc_simple/resources/img/portfolio/arte.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:20:01 -0500] "GET /mvc_simple/resources/img/portfolio/deporte.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:20:01 -0500] "GET /mvc_simple/resources/img/portfolio/humanitario.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:20:01 -0500] "GET /mvc_simple/resources/img/portfolio/facebook.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:20:01 -0500] "GET /mvc_simple/resources/img/portfolio/Google_Plus.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:20:01 -0500] "GET /mvc_simple/resources/img/portfolio/twitter.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:20:01 -0500] "GET /mvc_simple/resources/img/portfolio/linkedin.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:20:01 -0500] "GET /mvc_simple/resources/img/portfolio/whatsapp.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:22:35 -0500] "GET /mvc_simple/ HTTP/1.1" 200 27650
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:22:35 -0500] "GET /mvc_simple/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:22:35 -0500] "GET /mvc_simple/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:22:35 -0500] "GET /mvc_simple/resources/css/freelancer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:22:35 -0500] "GET /mvc_simple/resources/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:22:35 -0500] "GET /mvc_simple/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:22:35 -0500] "GET /mvc_simple/resources/img/portfolio/minions_022.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:22:35 -0500] "GET /mvc_simple/resources/js/classie.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:22:35 -0500] "GET /mvc_simple/resources/js/cbpAnimatedHeader.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:22:35 -0500] "GET /mvc_simple/resources/js/jqBootstrapValidation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:22:35 -0500] "GET /mvc_simple/resources/js/contact_me.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:22:35 -0500] "GET /mvc_simple/resources/js/freelancer.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:22:35 -0500] "GET /mvc_simple/resources/img/portfolio/entretenimiento.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:22:35 -0500] "GET /mvc_simple/resources/img/portfolio/airelibre.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:22:35 -0500] "GET /mvc_simple/resources/img/portfolio/cursos2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:22:35 -0500] "GET /mvc_simple/resources/img/portfolio/arte.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:22:35 -0500] "GET /mvc_simple/resources/img/portfolio/deporte.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:22:35 -0500] "GET /mvc_simple/resources/img/portfolio/humanitario.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:22:35 -0500] "GET /mvc_simple/resources/img/portfolio/facebook.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:22:35 -0500] "GET /mvc_simple/resources/img/portfolio/twitter.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:22:35 -0500] "GET /mvc_simple/resources/img/portfolio/Google_Plus.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:22:35 -0500] "GET /mvc_simple/resources/img/portfolio/linkedin.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:22:35 -0500] "GET /mvc_simple/resources/img/portfolio/whatsapp.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:22:57 -0500] "GET /mvc_simple/ HTTP/1.1" 200 27650
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:22:57 -0500] "GET /mvc_simple/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:22:57 -0500] "GET /mvc_simple/resources/css/freelancer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:22:57 -0500] "GET /mvc_simple/resources/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:22:57 -0500] "GET /mvc_simple/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:22:57 -0500] "GET /mvc_simple/resources/js/classie.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:22:57 -0500] "GET /mvc_simple/resources/js/cbpAnimatedHeader.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:22:57 -0500] "GET /mvc_simple/resources/js/contact_me.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:22:57 -0500] "GET /mvc_simple/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:22:57 -0500] "GET /mvc_simple/resources/js/freelancer.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:22:57 -0500] "GET /mvc_simple/resources/js/jqBootstrapValidation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:22:57 -0500] "GET /mvc_simple/resources/img/portfolio/minions_022.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:22:57 -0500] "GET /mvc_simple/resources/img/portfolio/entretenimiento.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:22:57 -0500] "GET /mvc_simple/resources/img/portfolio/airelibre.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:22:57 -0500] "GET /mvc_simple/resources/img/portfolio/cursos2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:22:57 -0500] "GET /mvc_simple/resources/img/portfolio/arte.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:22:57 -0500] "GET /mvc_simple/resources/img/portfolio/deporte.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:22:57 -0500] "GET /mvc_simple/resources/img/portfolio/humanitario.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:22:57 -0500] "GET /mvc_simple/resources/img/portfolio/Google_Plus.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:22:57 -0500] "GET /mvc_simple/resources/img/portfolio/facebook.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:22:57 -0500] "GET /mvc_simple/resources/img/portfolio/twitter.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:22:57 -0500] "GET /mvc_simple/resources/img/portfolio/linkedin.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:22:57 -0500] "GET /mvc_simple/resources/img/portfolio/whatsapp.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:23:50 -0500] "GET /mvc_simple/ HTTP/1.1" 200 27652
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:23:50 -0500] "GET /mvc_simple/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:23:50 -0500] "GET /mvc_simple/resources/css/freelancer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:23:50 -0500] "GET /mvc_simple/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:23:50 -0500] "GET /mvc_simple/resources/img/portfolio/minions_022.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:23:50 -0500] "GET /mvc_simple/resources/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:23:50 -0500] "GET /mvc_simple/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:23:50 -0500] "GET /mvc_simple/resources/js/cbpAnimatedHeader.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:23:50 -0500] "GET /mvc_simple/resources/js/classie.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:23:50 -0500] "GET /mvc_simple/resources/js/jqBootstrapValidation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:23:50 -0500] "GET /mvc_simple/resources/js/contact_me.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:23:50 -0500] "GET /mvc_simple/resources/js/freelancer.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:23:50 -0500] "GET /mvc_simple/resources/img/portfolio/entretenimiento.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:23:50 -0500] "GET /mvc_simple/resources/img/portfolio/airelibre.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:23:50 -0500] "GET /mvc_simple/resources/img/portfolio/arte.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:23:50 -0500] "GET /mvc_simple/resources/img/portfolio/deporte.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:23:50 -0500] "GET /mvc_simple/resources/img/portfolio/humanitario.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:23:50 -0500] "GET /mvc_simple/resources/img/portfolio/facebook.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:23:50 -0500] "GET /mvc_simple/resources/img/portfolio/Google_Plus.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:23:50 -0500] "GET /mvc_simple/resources/img/portfolio/twitter.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:23:50 -0500] "GET /mvc_simple/resources/img/portfolio/linkedin.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:23:50 -0500] "GET /mvc_simple/resources/img/portfolio/whatsapp.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:23:50 -0500] "GET /mvc_simple/resources/img/portfolio/cursos2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:24:18 -0500] "GET /mvc_simple/ HTTP/1.1" 200 27652
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:24:18 -0500] "GET /mvc_simple/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:24:18 -0500] "GET /mvc_simple/resources/css/freelancer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:24:18 -0500] "GET /mvc_simple/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:24:18 -0500] "GET /mvc_simple/resources/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:24:18 -0500] "GET /mvc_simple/resources/js/classie.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:24:18 -0500] "GET /mvc_simple/resources/js/jqBootstrapValidation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:24:18 -0500] "GET /mvc_simple/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:24:18 -0500] "GET /mvc_simple/resources/js/cbpAnimatedHeader.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:24:18 -0500] "GET /mvc_simple/resources/js/contact_me.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:24:18 -0500] "GET /mvc_simple/resources/js/freelancer.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:24:18 -0500] "GET /mvc_simple/resources/img/portfolio/minions_022.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:24:18 -0500] "GET /mvc_simple/resources/img/portfolio/entretenimiento.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:24:18 -0500] "GET /mvc_simple/resources/img/portfolio/airelibre.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:24:18 -0500] "GET /mvc_simple/resources/img/portfolio/arte.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:24:18 -0500] "GET /mvc_simple/resources/img/portfolio/deporte.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:24:18 -0500] "GET /mvc_simple/resources/img/portfolio/facebook.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:24:18 -0500] "GET /mvc_simple/resources/img/portfolio/humanitario.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:24:18 -0500] "GET /mvc_simple/resources/img/portfolio/linkedin.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:24:18 -0500] "GET /mvc_simple/resources/img/portfolio/whatsapp.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:24:18 -0500] "GET /mvc_simple/resources/img/portfolio/twitter.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:24:18 -0500] "GET /mvc_simple/resources/img/portfolio/Google_Plus.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:24:18 -0500] "GET /mvc_simple/resources/img/portfolio/cursos2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:25:19 -0500] "GET /mvc_simple/ HTTP/1.1" 200 27649
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:25:19 -0500] "GET /mvc_simple/resources/css/freelancer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:25:19 -0500] "GET /mvc_simple/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:25:19 -0500] "GET /mvc_simple/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:25:19 -0500] "GET /mvc_simple/resources/img/portfolio/minions_022.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:25:19 -0500] "GET /mvc_simple/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:25:19 -0500] "GET /mvc_simple/resources/js/classie.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:25:19 -0500] "GET /mvc_simple/resources/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:25:19 -0500] "GET /mvc_simple/resources/js/cbpAnimatedHeader.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:25:19 -0500] "GET /mvc_simple/resources/js/jqBootstrapValidation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:25:19 -0500] "GET /mvc_simple/resources/js/contact_me.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:25:19 -0500] "GET /mvc_simple/resources/js/freelancer.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:25:19 -0500] "GET /mvc_simple/resources/img/portfolio/entretenimiento.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:25:19 -0500] "GET /mvc_simple/resources/img/portfolio/cursos.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:25:19 -0500] "GET /mvc_simple/resources/img/portfolio/airelibre.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:25:19 -0500] "GET /mvc_simple/resources/img/portfolio/arte.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:25:19 -0500] "GET /mvc_simple/resources/img/portfolio/deporte.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:25:19 -0500] "GET /mvc_simple/resources/img/portfolio/humanitario.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:25:19 -0500] "GET /mvc_simple/resources/img/portfolio/Google_Plus.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:25:19 -0500] "GET /mvc_simple/resources/img/portfolio/facebook.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:25:19 -0500] "GET /mvc_simple/resources/img/portfolio/twitter.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:25:19 -0500] "GET /mvc_simple/resources/img/portfolio/linkedin.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:25:19 -0500] "GET /mvc_simple/resources/img/portfolio/whatsapp.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:25:19 -0500] "GET /mvc_simple/resources/img/portfolio/cursos2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:25:43 -0500] "GET /mvc_simple/ HTTP/1.1" 200 27649
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:25:43 -0500] "GET /mvc_simple/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:25:43 -0500] "GET /mvc_simple/resources/css/freelancer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:25:43 -0500] "GET /mvc_simple/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:25:43 -0500] "GET /mvc_simple/resources/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:25:43 -0500] "GET /mvc_simple/resources/js/classie.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:25:43 -0500] "GET /mvc_simple/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:25:43 -0500] "GET /mvc_simple/resources/js/cbpAnimatedHeader.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:25:43 -0500] "GET /mvc_simple/resources/js/jqBootstrapValidation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:25:43 -0500] "GET /mvc_simple/resources/js/contact_me.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:25:43 -0500] "GET /mvc_simple/resources/js/freelancer.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:25:43 -0500] "GET /mvc_simple/resources/img/portfolio/minions_022.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:25:43 -0500] "GET /mvc_simple/resources/img/portfolio/cursos.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:25:43 -0500] "GET /mvc_simple/resources/img/portfolio/entretenimiento.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:25:43 -0500] "GET /mvc_simple/resources/img/portfolio/arte.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:25:43 -0500] "GET /mvc_simple/resources/img/portfolio/deporte.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:25:43 -0500] "GET /mvc_simple/resources/img/portfolio/airelibre.jpg HTTP/1.1" 304 -
